time,MP,FC,F2,CIA,FS,F3,O2,FM
0, 50.0, 20.0, 200.0, 80.0, 500.0, 3400.0, 1.0, 100.0
1, 49.8345, 19.9984, 211.198, 80.0016, 501.635, 3388.8, 0.00503804, 98.5307
2, 49.6694, 19.9937, 222.355, 80.0066, 503.239, 3377.64, 0.00502587, 97.0901
3, 49.5049, 19.986, 233.47, 80.015, 504.815, 3366.52, 0.00501393, 95.6778
4, 49.3409, 19.9754, 244.54, 80.027, 506.361, 3355.45, 0.00500222, 94.2936
5, 49.1774, 19.962, 255.567, 80.0425, 507.877, 3344.41, 0.00499072, 92.937
6, 49.0144, 19.9458, 266.547, 80.0617, 509.365, 3333.41, 0.00497945, 91.6077
7, 48.852, 19.927, 277.482, 80.0846, 510.825, 3322.44, 0.0049684, 90.3052
8, 48.69, 19.9057, 288.37, 80.1113, 512.255, 3311.52, 0.00495758, 89.0293
9, 48.5286, 19.8818, 299.209, 80.1419, 513.658, 3300.64, 0.00494696, 87.7796
10, 48.3677, 19.8556, 310.0, 80.1764, 515.033, 3289.79, 0.00493657, 86.5556
11, 48.2073, 19.8271, 320.741, 80.215, 516.38, 3278.98, 0.00492639, 85.357
12, 48.0475, 19.7963, 331.431, 80.2576, 517.7, 3268.21, 0.00491643, 84.1833
13, 47.8881, 19.7634, 342.07, 80.3044, 518.993, 3257.47, 0.00490667, 83.0343
14, 47.7293, 19.7285, 352.657, 80.3553, 520.259, 3246.77, 0.00489713, 81.9095
15, 47.571, 19.6916, 363.191, 80.4105, 521.499, 3236.11, 0.00488779, 80.8085
16, 47.4132, 19.6529, 373.672, 80.4699, 522.713, 3225.49, 0.00487866, 79.731
17, 47.2559, 19.6123, 384.098, 80.5337, 523.9, 3214.9, 0.00486973, 78.6765
18, 47.0991, 19.5701, 394.469, 80.6018, 525.062, 3204.35, 0.004861, 77.6447
19, 46.9429, 19.5263, 404.785, 80.6742, 526.199, 3193.83, 0.00485247, 76.6353
20, 46.7871, 19.481, 415.044, 80.7511, 527.311, 3183.35, 0.00484414, 75.6477
21, 46.6319, 19.4342, 425.245, 80.8324, 528.398, 3172.91, 0.004836, 74.6817
22, 46.4771, 19.3862, 435.389, 80.9181, 529.461, 3162.5, 0.00482804, 73.7368
23, 46.3229, 19.337, 445.474, 81.0083, 530.5, 3152.13, 0.00482028, 72.8128
24, 46.1692, 19.2866, 455.5, 81.103, 531.515, 3141.79, 0.0048127, 71.9091
25, 46.0159, 19.2353, 465.466, 81.2021, 532.507, 3131.49, 0.0048053, 71.0255
26, 45.8632, 19.183, 475.372, 81.3057, 533.476, 3121.22, 0.00479808, 70.1616
27, 45.711, 19.13, 485.217, 81.4138, 534.422, 3110.98, 0.00479104, 69.3171
28, 45.5593, 19.0762, 495.001, 81.5263, 535.346, 3100.79, 0.00478418, 68.4915
29, 45.4081, 19.0219, 504.722, 81.6433, 536.247, 3090.62, 0.00477748, 67.6845
30, 45.2573, 18.967, 514.381, 81.7647, 537.127, 3080.49, 0.00477095, 66.8958
31, 45.1071, 18.9118, 523.977, 81.8905, 537.985, 3070.39, 0.00476459, 66.125
32, 44.9574, 18.8562, 533.509, 82.0208, 538.822, 3060.33, 0.00475839, 65.3719
33, 44.8081, 18.8005, 542.977, 82.1553, 539.639, 3050.3, 0.00475235, 64.636
34, 44.6594, 18.7446, 552.382, 82.2942, 540.435, 3040.3, 0.00474647, 63.917
35, 44.5111, 18.6887, 561.722, 82.4375, 541.21, 3030.34, 0.00474075, 63.2146
36, 44.3633, 18.6329, 570.996, 82.5849, 541.966, 3020.41, 0.00473517, 62.5285
37, 44.216, 18.5773, 580.206, 82.7366, 542.703, 3010.51, 0.00472974, 61.8585
38, 44.0692, 18.5219, 589.351, 82.8925, 543.42, 3000.65, 0.00472447, 61.2041
39, 43.9229, 18.4668, 598.43, 83.0526, 544.118, 2990.82, 0.00471935, 60.565
40, 43.7771, 18.4122, 607.443, 83.2167, 544.798, 2981.02, 0.00471431, 59.9411
41, 43.6317, 18.358, 616.391, 83.3849, 545.46, 2971.25, 0.00470943, 59.3319
42, 43.4869, 18.3043, 625.273, 83.5571, 546.104, 2961.52, 0.00470477, 58.7372
43, 43.3425, 18.2513, 634.089, 83.7332, 546.73, 2951.82, 0.00470017, 58.1568
44, 43.1986, 18.1989, 642.839, 83.9132, 547.339, 2942.15, 0.00469571, 57.5903
45, 43.0551, 18.1472, 651.524, 84.097, 547.931, 2932.51, 0.00469138, 57.0375
46, 42.9121, 18.0963, 660.143, 84.2847, 548.506, 2922.91, 0.00468717, 56.4981
47, 42.7696, 18.0462, 668.697, 84.476, 549.065, 2913.33, 0.00468309, 55.9719
48, 42.6276, 17.997, 677.186, 84.671, 549.608, 2903.79, 0.00467913, 55.4585
49, 42.4861, 17.9486, 685.611, 84.8696, 550.135, 2894.28, 0.00467528, 54.9578
50, 42.345, 17.9012, 693.97, 85.0717, 550.647, 2884.8, 0.00467155, 54.4695
51, 42.2043, 17.8547, 702.266, 85.2773, 551.144, 2875.35, 0.00466794, 53.9934
52, 42.0642, 17.8092, 710.498, 85.4864, 551.626, 2865.94, 0.00466443, 53.5291
53, 41.9245, 17.7646, 718.666, 85.6987, 552.094, 2856.55, 0.00466103, 53.0765
54, 41.7853, 17.7211, 726.772, 85.9143, 552.547, 2847.2, 0.00465774, 52.6354
55, 41.6465, 17.6785, 734.815, 86.1331, 552.987, 2837.88, 0.00465455, 52.2054
56, 41.5082, 17.637, 742.797, 86.3551, 553.413, 2828.58, 0.00465146, 51.7864
57, 41.3703, 17.5965, 750.717, 86.5801, 553.825, 2819.32, 0.00464847, 51.3782
58, 41.2329, 17.557, 758.577, 86.8081, 554.225, 2810.09, 0.00464557, 50.9805
59, 41.096, 17.5185, 766.377, 87.0391, 554.612, 2800.89, 0.00464277, 50.5932
60, 40.9595, 17.481, 774.117, 87.2729, 554.986, 2791.72, 0.00464006, 50.2159
61, 40.8235, 17.4445, 781.799, 87.5095, 555.349, 2782.58, 0.00463744, 49.8485
62, 40.6879, 17.409, 789.423, 87.7488, 555.699, 2773.47, 0.00463491, 49.4908
63, 40.5527, 17.3744, 796.989, 87.9908, 556.038, 2764.39, 0.00463246, 49.1426
64, 40.418, 17.3408, 804.499, 88.2354, 556.365, 2755.35, 0.00463009, 48.8036
65, 40.2838, 17.3082, 811.952, 88.4825, 556.681, 2746.33, 0.00462781, 48.4737
66, 40.15, 17.2765, 819.351, 88.732, 556.987, 2737.34, 0.00462561, 48.1526
67, 40.0166, 17.2457, 826.695, 88.9838, 557.282, 2728.38, 0.00462348, 47.8402
68, 39.8837, 17.2158, 833.985, 89.238, 557.567, 2719.45, 0.00462143, 47.5363
69, 39.7513, 17.1868, 841.222, 89.4944, 557.841, 2710.55, 0.00461945, 47.2407
70, 39.6192, 17.1586, 848.407, 89.753, 558.106, 2701.68, 0.00461755, 46.9531
71, 39.4876, 17.1313, 855.541, 90.0137, 558.361, 2692.84, 0.00461571, 46.6735
72, 39.3565, 17.1048, 862.623, 90.2764, 558.607, 2684.02, 0.00461394, 46.4015
73, 39.2257, 17.0791, 869.656, 90.5411, 558.843, 2675.24, 0.00461224, 46.1372
74, 39.0954, 17.0541, 876.639, 90.8076, 559.071, 2666.49, 0.0046106, 45.8801
75, 38.9656, 17.0299, 883.574, 91.076, 559.291, 2657.76, 0.00460903, 45.6303
76, 38.8362, 17.0065, 890.461, 91.3462, 559.501, 2649.07, 0.00460751, 45.3875
77, 38.7072, 16.9838, 897.301, 91.618, 559.704, 2640.4, 0.00460606, 45.1515
78, 38.5786, 16.9617, 904.094, 91.8915, 559.898, 2631.76, 0.00460466, 44.9222
79, 38.4504, 16.9404, 910.842, 92.1665, 560.085, 2623.15, 0.00460332, 44.6994
80, 38.3227, 16.9196, 917.545, 92.4431, 560.265, 2614.57, 0.00460204, 44.4829
81, 38.1954, 16.8996, 924.203, 92.7211, 560.436, 2606.02, 0.0046008, 44.2727
82, 38.0685, 16.8801, 930.818, 93.0005, 560.601, 2597.49, 0.00459962, 44.0684
83, 37.9421, 16.8613, 937.39, 93.2812, 560.759, 2589.0, 0.00459849, 43.8701
84, 37.8161, 16.843, 943.919, 93.5632, 560.91, 2580.53, 0.00459741, 43.6775
85, 37.6904, 16.8253, 950.407, 93.8463, 561.054, 2572.09, 0.00459638, 43.4904
86, 37.5652, 16.8082, 956.854, 94.1307, 561.192, 2563.68, 0.00459539, 43.3088
87, 37.4405, 16.7916, 963.261, 94.4161, 561.324, 2555.29, 0.00459445, 43.1325
88, 37.3161, 16.7755, 969.627, 94.7026, 561.45, 2546.94, 0.00459355, 42.9614
89, 37.1921, 16.7599, 975.955, 94.9901, 561.57, 2538.61, 0.00459269, 42.7952
90, 37.0686, 16.7448, 982.244, 95.2785, 561.684, 2530.31, 0.00459187, 42.634
91, 36.9455, 16.7301, 988.495, 95.5678, 561.792, 2522.03, 0.00459109, 42.4775
92, 36.8227, 16.7159, 994.709, 95.8579, 561.895, 2513.79, 0.00459036, 42.3256
93, 36.7004, 16.7022, 1000.89, 96.1488, 561.993, 2505.57, 0.00458966, 42.1782
94, 36.5785, 16.6889, 1007.03, 96.4404, 562.086, 2497.38, 0.00458899, 42.0352
95, 36.457, 16.676, 1013.13, 96.7328, 562.174, 2489.21, 0.00458836, 41.8965
96, 36.3359, 16.6635, 1019.2, 97.0257, 562.257, 2481.08, 0.00458777, 41.7619
97, 36.2152, 16.6514, 1025.24, 97.3193, 562.336, 2472.97, 0.00458721, 41.6313
98, 36.0949, 16.6397, 1031.24, 97.6134, 562.41, 2464.89, 0.00458668, 41.5047
99, 35.975, 16.6283, 1037.2, 97.908, 562.479, 2456.83, 0.00458618, 41.3818
100, 35.8555, 16.6173, 1043.14, 98.2031, 562.545, 2448.8, 0.00458572, 41.2626
101, 35.7364, 16.6067, 1049.04, 98.4986, 562.606, 2440.8, 0.00458528, 41.1471
102, 35.6177, 16.5964, 1054.91, 98.7945, 562.663, 2432.82, 0.00458487, 41.035
103, 35.4994, 16.5864, 1060.75, 99.0908, 562.717, 2424.87, 0.00458449, 40.9263
104, 35.3815, 16.5767, 1066.55, 99.3873, 562.766, 2416.95, 0.00458413, 40.8209
105, 35.2639, 16.5673, 1072.33, 99.6841, 562.812, 2409.05, 0.0045838, 40.7187
106, 35.1468, 16.5582, 1078.07, 99.9812, 562.855, 2401.18, 0.0045835, 40.6196
107, 35.03, 16.5494, 1083.79, 100.278, 562.894, 2393.34, 0.00458322, 40.5236
108, 34.9137, 16.5409, 1089.47, 100.576, 562.93, 2385.52, 0.00458297, 40.4304
109, 34.7977, 16.5327, 1095.13, 100.873, 562.962, 2377.73, 0.00458273, 40.3401
110, 34.6821, 16.5247, 1100.76, 101.171, 562.992, 2369.96, 0.00458252, 40.2526
111, 34.5669, 16.5169, 1106.35, 101.469, 563.018, 2362.22, 0.00458233, 40.1678
112, 34.4521, 16.5095, 1111.93, 101.767, 563.042, 2354.51, 0.00458217, 40.0856
113, 34.3376, 16.5022, 1117.47, 102.064, 563.062, 2346.82, 0.00458202, 40.0059
114, 34.2236, 16.4952, 1122.98, 102.362, 563.08, 2339.16, 0.00458189, 39.9286
115, 34.1099, 16.4884, 1128.47, 102.66, 563.096, 2331.52, 0.00458178, 39.8538
116, 33.9966, 16.4818, 1133.93, 102.957, 563.109, 2323.91, 0.00458169, 39.7812
117, 33.8837, 16.4754, 1139.37, 103.255, 563.119, 2316.32, 0.00458161, 39.7109
118, 33.7711, 16.4692, 1144.78, 103.552, 563.127, 2308.76, 0.00458156, 39.6427
119, 33.6589, 16.4632, 1150.16, 103.849, 563.133, 2301.22, 0.00458152, 39.5767
120, 33.5471, 16.4574, 1155.52, 104.146, 563.136, 2293.71, 0.00458149, 39.5127
121, 33.4357, 16.4518, 1160.86, 104.443, 563.138, 2286.22, 0.00458148, 39.4508
122, 33.3246, 16.4464, 1166.17, 104.74, 563.137, 2278.76, 0.00458149, 39.3907
123, 33.214, 16.4411, 1171.45, 105.036, 563.134, 2271.33, 0.00458151, 39.3325
124, 33.1036, 16.436, 1176.71, 105.332, 563.13, 2263.91, 0.00458154, 39.2761
125, 32.9937, 16.4311, 1181.95, 105.628, 563.123, 2256.53, 0.00458159, 39.2215
126, 32.8841, 16.4263, 1187.16, 105.924, 563.115, 2249.16, 0.00458165, 39.1686
127, 32.7749, 16.4216, 1192.35, 106.219, 563.104, 2241.83, 0.00458172, 39.1173
128, 32.666, 16.4172, 1197.52, 106.514, 563.093, 2234.51, 0.0045818, 39.0676
129, 32.5575, 16.4128, 1202.66, 106.808, 563.079, 2227.22, 0.0045819, 39.0195
130, 32.4493, 16.4086, 1207.78, 107.102, 563.064, 2219.96, 0.00458201, 38.9729
131, 32.3416, 16.4045, 1212.88, 107.396, 563.047, 2212.72, 0.00458213, 38.9278
132, 32.2341, 16.4006, 1217.96, 107.689, 563.029, 2205.5, 0.00458225, 38.8841
133, 32.1271, 16.3968, 1223.01, 107.982, 563.01, 2198.31, 0.00458239, 38.8417
134, 32.0204, 16.3931, 1228.05, 108.274, 562.989, 2191.14, 0.00458254, 38.8007
135, 31.914, 16.3895, 1233.06, 108.566, 562.967, 2183.99, 0.0045827, 38.761
136, 31.808, 16.3861, 1238.05, 108.857, 562.943, 2176.87, 0.00458287, 38.7225
137, 31.7024, 16.3827, 1243.02, 109.148, 562.919, 2169.78, 0.00458304, 38.6852
138, 31.5971, 16.3795, 1247.97, 109.439, 562.893, 2162.7, 0.00458323, 38.6491
139, 31.4921, 16.3763, 1252.89, 109.729, 562.866, 2155.65, 0.00458342, 38.6142
140, 31.3875, 16.3733, 1257.8, 110.018, 562.838, 2148.63, 0.00458362, 38.5803
141, 31.2833, 16.3703, 1262.69, 110.307, 562.809, 2141.62, 0.00458383, 38.5475
142, 31.1794, 16.3675, 1267.56, 110.595, 562.779, 2134.64, 0.00458405, 38.5158
143, 31.0758, 16.3647, 1272.4, 110.883, 562.747, 2127.69, 0.00458427, 38.485
144, 30.9726, 16.362, 1277.23, 111.17, 562.715, 2120.75, 0.0045845, 38.4552
145, 30.8697, 16.3594, 1282.04, 111.457, 562.682, 2113.84, 0.00458473, 38.4264
146, 30.7672, 16.3569, 1286.83, 111.743, 562.649, 2106.96, 0.00458497, 38.3985
147, 30.665, 16.3545, 1291.6, 112.028, 562.614, 2100.09, 0.00458522, 38.3715
148, 30.5632, 16.3522, 1296.35, 112.313, 562.578, 2093.25, 0.00458548, 38.3453
149, 30.4616, 16.3499, 1301.08, 112.597, 562.542, 2086.43, 0.00458573, 38.3199
150, 30.3605, 16.3477, 1305.79, 112.881, 562.505, 2079.64, 0.004586, 38.2954
151, 30.2596, 16.3456, 1310.49, 113.164, 562.467, 2072.86, 0.00458627, 38.2716
152, 30.1591, 16.3435, 1315.16, 113.446, 562.429, 2066.11, 0.00458654, 38.2486
153, 30.059, 16.3415, 1319.82, 113.728, 562.39, 2059.38, 0.00458682, 38.2264
154, 29.9591, 16.3396, 1324.46, 114.009, 562.35, 2052.68, 0.00458711, 38.2048
155, 29.8596, 16.3377, 1329.08, 114.289, 562.31, 2045.99, 0.00458739, 38.1839
156, 29.7605, 16.3359, 1333.69, 114.568, 562.269, 2039.33, 0.00458769, 38.1637
157, 29.6616, 16.3341, 1338.27, 114.847, 562.228, 2032.69, 0.00458798, 38.1441
158, 29.5631, 16.3324, 1342.84, 115.126, 562.186, 2026.08, 0.00458828, 38.1252
159, 29.4649, 16.3308, 1347.39, 115.403, 562.143, 2019.48, 0.00458859, 38.1069
160, 29.3671, 16.3292, 1351.93, 115.68, 562.1, 2012.91, 0.00458889, 38.0891
161, 29.2696, 16.3277, 1356.44, 115.956, 562.057, 2006.36, 0.0045892, 38.0719
162, 29.1724, 16.3262, 1360.94, 116.232, 562.013, 1999.83, 0.00458952, 38.0553
163, 29.0755, 16.3247, 1365.43, 116.507, 561.969, 1993.32, 0.00458983, 38.0392
164, 28.9789, 16.3233, 1369.89, 116.781, 561.924, 1986.84, 0.00459016, 38.0236
165, 28.8827, 16.322, 1374.34, 117.054, 561.879, 1980.37, 0.00459048, 38.0085
166, 28.7868, 16.3207, 1378.77, 117.327, 561.833, 1973.93, 0.0045908, 37.9939
167, 28.6912, 16.3194, 1383.19, 117.599, 561.788, 1967.51, 0.00459113, 37.9797
168, 28.5959, 16.3182, 1387.59, 117.87, 561.741, 1961.11, 0.00459146, 37.966
169, 28.5009, 16.317, 1391.97, 118.14, 561.695, 1954.73, 0.00459179, 37.9528
170, 28.4063, 16.3158, 1396.34, 118.41, 561.648, 1948.38, 0.00459212, 37.94
171, 28.3119, 16.3147, 1400.69, 118.679, 561.601, 1942.04, 0.00459246, 37.9275
172, 28.2179, 16.3137, 1405.03, 118.947, 561.554, 1935.73, 0.00459281, 37.9155
173, 28.1242, 16.3126, 1409.35, 119.215, 561.506, 1929.43, 0.00459315, 37.9039
174, 28.0308, 16.3116, 1413.65, 119.482, 561.458, 1923.16, 0.00459349, 37.8926
175, 27.9377, 16.3106, 1417.94, 119.748, 561.41, 1916.91, 0.00459383, 37.8817
176, 27.8449, 16.3097, 1422.21, 120.013, 561.362, 1910.68, 0.00459416, 37.8712
177, 27.7525, 16.3088, 1426.47, 120.278, 561.314, 1904.47, 0.00459449, 37.861
178, 27.6603, 16.3079, 1430.71, 120.541, 561.265, 1898.28, 0.00459484, 37.8511
179, 27.5685, 16.307, 1434.94, 120.805, 561.216, 1892.11, 0.0045952, 37.8416
180, 27.4769, 16.3062, 1439.15, 121.067, 561.167, 1885.96, 0.00459557, 37.8323
181, 27.3857, 16.3054, 1443.34, 121.328, 561.118, 1879.83, 0.00459594, 37.8234
182, 27.2947, 16.3046, 1447.53, 121.589, 561.069, 1873.73, 0.00459632, 37.8147
183, 27.2041, 16.3039, 1451.69, 121.849, 561.02, 1867.64, 0.00459668, 37.8063
184, 27.1138, 16.3031, 1455.84, 122.108, 560.97, 1861.57, 0.00459701, 37.7982
185, 27.0237, 16.3024, 1459.98, 122.367, 560.92, 1855.53, 0.00459734, 37.7903
186, 26.934, 16.3018, 1464.1, 122.625, 560.871, 1849.5, 0.00459769, 37.7827
187, 26.8446, 16.3011, 1468.21, 122.882, 560.821, 1843.49, 0.00459805, 37.7754
188, 26.7554, 16.3005, 1472.3, 123.138, 560.771, 1837.51, 0.00459841, 37.7683
189, 26.6666, 16.2998, 1476.38, 123.393, 560.721, 1831.54, 0.00459877, 37.7614
190, 26.578, 16.2993, 1480.44, 123.648, 560.671, 1825.6, 0.00459913, 37.7547
191, 26.4898, 16.2987, 1484.49, 123.902, 560.621, 1819.67, 0.00459949, 37.7483
192, 26.4018, 16.2981, 1488.53, 124.155, 560.57, 1813.76, 0.00459985, 37.7421
193, 26.3142, 16.2976, 1492.55, 124.408, 560.52, 1807.88, 0.00460021, 37.736
194, 26.2268, 16.297, 1496.55, 124.659, 560.47, 1802.01, 0.00460057, 37.7302
195, 26.1397, 16.2965, 1500.55, 124.91, 560.42, 1796.16, 0.00460093, 37.7246
196, 26.0529, 16.2961, 1504.52, 125.16, 560.369, 1790.33, 0.00460129, 37.7191
197, 25.9664, 16.2956, 1508.49, 125.41, 560.319, 1784.52, 0.00460165, 37.7138
198, 25.8802, 16.2951, 1512.44, 125.658, 560.268, 1778.73, 0.00460201, 37.7087
199, 25.7943, 16.2947, 1516.38, 125.906, 560.218, 1772.96, 0.00460237, 37.7038
200, 25.7086, 16.2942, 1520.3, 126.153, 560.168, 1767.21, 0.00460273, 37.699
201, 25.6233, 16.2938, 1524.21, 126.399, 560.117, 1761.48, 0.0046031, 37.6943
202, 25.5382, 16.2934, 1528.11, 126.645, 560.067, 1755.77, 0.00460346, 37.6899
203, 25.4534, 16.293, 1531.99, 126.89, 560.017, 1750.08, 0.00460382, 37.6855
204, 25.3689, 16.2927, 1535.86, 127.134, 559.966, 1744.4, 0.00460418, 37.6813
205, 25.2847, 16.2923, 1539.71, 127.377, 559.916, 1738.75, 0.00460454, 37.6773
206, 25.2007, 16.2919, 1543.56, 127.62, 559.866, 1733.11, 0.0046049, 37.6734
207, 25.1171, 16.2916, 1547.38, 127.861, 559.815, 1727.49, 0.00460526, 37.6696
208, 25.0337, 16.2913, 1551.2, 128.102, 559.765, 1721.89, 0.00460562, 37.6659
209, 24.9506, 16.291, 1555.0, 128.343, 559.715, 1716.31, 0.00460598, 37.6624
210, 24.8677, 16.2906, 1558.79, 128.582, 559.665, 1710.75, 0.00460634, 37.659
211, 24.7852, 16.2903, 1562.57, 128.821, 559.615, 1705.21, 0.0046067, 37.6556
212, 24.7029, 16.2901, 1566.33, 129.059, 559.565, 1699.68, 0.00460706, 37.6524
213, 24.6209, 16.2898, 1570.08, 129.296, 559.515, 1694.17, 0.00460742, 37.6493
214, 24.5391, 16.2895, 1573.82, 129.532, 559.465, 1688.69, 0.00460778, 37.6463
215, 24.4577, 16.2892, 1577.55, 129.768, 559.415, 1683.22, 0.00460814, 37.6434
216, 24.3765, 16.289, 1581.26, 130.003, 559.365, 1677.76, 0.0046085, 37.6406
217, 24.2955, 16.2887, 1584.96, 130.237, 559.315, 1672.33, 0.00460885, 37.6379
218, 24.2149, 16.2885, 1588.64, 130.471, 559.266, 1666.92, 0.00460921, 37.6353
219, 24.1345, 16.2883, 1592.32, 130.704, 559.216, 1661.52, 0.00460957, 37.6328
220, 24.0544, 16.2881, 1595.98, 130.936, 559.166, 1656.14, 0.00460992, 37.6303
221, 23.9745, 16.2878, 1599.63, 131.167, 559.117, 1650.78, 0.00461028, 37.628
222, 23.8949, 16.2876, 1603.27, 131.398, 559.068, 1645.43, 0.00461063, 37.6257
223, 23.8156, 16.2874, 1606.89, 131.627, 559.018, 1640.11, 0.00461099, 37.6235
224, 23.7365, 16.2872, 1610.5, 131.856, 558.969, 1634.8, 0.00461134, 37.6214
225, 23.6578, 16.2871, 1614.1, 132.085, 558.92, 1629.51, 0.00461169, 37.6193
226, 23.5792, 16.2869, 1617.69, 132.312, 558.871, 1624.24, 0.00461204, 37.6173
227, 23.5009, 16.2867, 1621.26, 132.539, 558.822, 1618.98, 0.0046124, 37.6154
228, 23.4229, 16.2865, 1624.83, 132.765, 558.773, 1613.74, 0.00461275, 37.6135
229, 23.3452, 16.2864, 1628.38, 132.991, 558.725, 1608.52, 0.0046131, 37.6117
230, 23.2677, 16.2862, 1631.92, 133.215, 558.676, 1603.32, 0.00461345, 37.61
231, 23.1905, 16.2861, 1635.44, 133.439, 558.628, 1598.14, 0.0046138, 37.6083
232, 23.1135, 16.2859, 1638.96, 133.663, 558.579, 1592.97, 0.00461414, 37.6067
233, 23.0367, 16.2858, 1642.46, 133.885, 558.531, 1587.82, 0.00461449, 37.6051
234, 22.9603, 16.2856, 1645.95, 134.107, 558.483, 1582.68, 0.00461484, 37.6036
235, 22.8841, 16.2855, 1649.43, 134.328, 558.435, 1577.57, 0.00461518, 37.6021
236, 22.8081, 16.2854, 1652.9, 134.548, 558.387, 1572.47, 0.00461553, 37.6007
237, 22.7324, 16.2852, 1656.35, 134.768, 558.339, 1567.39, 0.00461587, 37.5994
238, 22.6569, 16.2851, 1659.8, 134.987, 558.291, 1562.32, 0.00461622, 37.598
239, 22.5817, 16.285, 1663.23, 135.205, 558.243, 1557.27, 0.00461656, 37.5968
240, 22.5068, 16.2849, 1666.65, 135.422, 558.196, 1552.24, 0.0046169, 37.5955
241, 22.4321, 16.2848, 1670.06, 135.639, 558.148, 1547.23, 0.00461724, 37.5944
242, 22.3576, 16.2847, 1673.46, 135.855, 558.101, 1542.23, 0.00461758, 37.5932
243, 22.2834, 16.2846, 1676.84, 136.071, 558.054, 1537.25, 0.00461792, 37.5921
244, 22.2095, 16.2845, 1680.22, 136.285, 558.007, 1532.28, 0.00461826, 37.5911
245, 22.1357, 16.2844, 1683.58, 136.499, 557.96, 1527.33, 0.0046186, 37.59
246, 22.0623, 16.2843, 1686.93, 136.713, 557.913, 1522.4, 0.00461894, 37.589
247, 21.9891, 16.2842, 1690.27, 136.925, 557.866, 1517.48, 0.00461927, 37.5881
248, 21.9161, 16.2841, 1693.6, 137.137, 557.82, 1512.59, 0.00461961, 37.5872
249, 21.8433, 16.284, 1696.92, 137.348, 557.773, 1507.7, 0.00461994, 37.5863
250, 21.7708, 16.284, 1700.23, 137.559, 557.727, 1502.84, 0.00462028, 37.5854
251, 21.6986, 16.2839, 1703.52, 137.769, 557.681, 1497.99, 0.00462061, 37.5846
252, 21.6266, 16.2838, 1706.81, 137.978, 557.635, 1493.15, 0.00462094, 37.5838
253, 21.5548, 16.2837, 1710.08, 138.186, 557.589, 1488.33, 0.00462127, 37.583
254, 21.4833, 16.2837, 1713.35, 138.394, 557.543, 1483.53, 0.0046216, 37.5823
255, 21.412, 16.2836, 1716.6, 138.601, 557.497, 1478.75, 0.00462193, 37.5816
256, 21.3409, 16.2835, 1719.84, 138.807, 557.452, 1473.98, 0.00462226, 37.5809
257, 21.2701, 16.2835, 1723.07, 139.013, 557.406, 1469.22, 0.00462259, 37.5802
258, 21.1995, 16.2834, 1726.29, 139.218, 557.361, 1464.48, 0.00462292, 37.5796
259, 21.1291, 16.2834, 1729.5, 139.422, 557.316, 1459.76, 0.00462324, 37.579
260, 21.059, 16.2833, 1732.69, 139.626, 557.271, 1455.05, 0.00462357, 37.5784
261, 20.9891, 16.2832, 1735.88, 139.829, 557.226, 1450.36, 0.00462389, 37.5778
262, 20.9195, 16.2832, 1739.06, 140.031, 557.181, 1445.69, 0.00462421, 37.5773
263, 20.85, 16.2831, 1742.22, 140.233, 557.136, 1441.03, 0.00462453, 37.5767
264, 20.7809, 16.2831, 1745.38, 140.434, 557.092, 1436.38, 0.00462486, 37.5762
265, 20.7119, 16.283, 1748.52, 140.634, 557.047, 1431.75, 0.00462518, 37.5757
266, 20.6432, 16.283, 1751.65, 140.834, 557.003, 1427.14, 0.0046255, 37.5753
267, 20.5747, 16.283, 1754.78, 141.033, 556.959, 1422.54, 0.00462581, 37.5748
268, 20.5064, 16.2829, 1757.89, 141.232, 556.915, 1417.96, 0.00462613, 37.5744
269, 20.4383, 16.2829, 1760.99, 141.429, 556.871, 1413.39, 0.00462645, 37.574
270, 20.3705, 16.2828, 1764.08, 141.626, 556.827, 1408.84, 0.00462676, 37.5736
271, 20.3029, 16.2828, 1767.16, 141.823, 556.784, 1404.3, 0.00462708, 37.5732
272, 20.2355, 16.2828, 1770.24, 142.019, 556.74, 1399.78, 0.00462739, 37.5728
273, 20.1684, 16.2827, 1773.3, 142.214, 556.697, 1395.28, 0.00462771, 37.5725
274, 20.1015, 16.2827, 1776.35, 142.408, 556.653, 1390.78, 0.00462802, 37.5721
275, 20.0348, 16.2827, 1779.39, 142.602, 556.61, 1386.31, 0.00462833, 37.5718
276, 19.9683, 16.2826, 1782.42, 142.795, 556.567, 1381.84, 0.00462864, 37.5715
277, 19.902, 16.2826, 1785.44, 142.988, 556.524, 1377.4, 0.00462895, 37.5712
278, 19.836, 16.2826, 1788.45, 143.18, 556.482, 1372.97, 0.00462926, 37.5709
279, 19.7702, 16.2826, 1791.45, 143.371, 556.439, 1368.55, 0.00462956, 37.5706
280, 19.7046, 16.2825, 1794.44, 143.562, 556.397, 1364.15, 0.00462987, 37.5704
281, 19.6392, 16.2825, 1797.42, 143.752, 556.354, 1359.76, 0.00463017, 37.5701
282, 19.5741, 16.2825, 1800.39, 143.941, 556.312, 1355.38, 0.00463048, 37.5699
283, 19.5091, 16.2825, 1803.35, 144.13, 556.27, 1351.02, 0.00463078, 37.5696
284, 19.4444, 16.2824, 1806.3, 144.318, 556.228, 1346.68, 0.00463109, 37.5694
285, 19.3799, 16.2824, 1809.24, 144.505, 556.186, 1342.35, 0.00463139, 37.5692
286, 19.3156, 16.2824, 1812.17, 144.692, 556.145, 1338.04, 0.00463169, 37.569
