time,MP,FC,F2,CIA,FS,F3,O2,FM
0, 50.0, 20.0, 200.0, 80.0, 500.0, 3400.0, 1.0, 100.0
1, 49.8571, 19.9988, 208.455, 80.0012, 501.238, 3391.54, 0.143258, 98.9045
2, 49.7138, 19.9954, 216.825, 80.0049, 502.457, 3383.17, 0.14296, 97.8282
3, 49.5703, 19.9897, 225.111, 80.0111, 503.657, 3374.88, 0.142667, 96.7707
4, 49.4265, 19.982, 233.317, 80.0198, 504.838, 3366.67, 0.142378, 95.7319
5, 49.2826, 19.9723, 241.443, 80.031, 506.0, 3358.54, 0.142094, 94.7114
6, 49.1385, 19.9606, 249.493, 80.0449, 507.143, 3350.47, 0.141815, 93.709
7, 48.9944, 19.9472, 257.469, 80.0613, 508.268, 3342.48, 0.141541, 92.7242
8, 48.8501, 19.932, 265.371, 80.0804, 509.374, 3334.55, 0.141271, 91.757
9, 48.7059, 19.9151, 273.202, 80.1022, 510.462, 3326.69, 0.141006, 90.8069
10, 48.5617, 19.8966, 280.963, 80.1266, 511.532, 3318.88, 0.140746, 89.8737
11, 48.4175, 19.8766, 288.656, 80.1538, 512.584, 3311.14, 0.14049, 88.9571
12, 48.2733, 19.8552, 296.283, 80.1837, 513.619, 3303.46, 0.140239, 88.0569
13, 48.1293, 19.8323, 303.844, 80.2164, 514.635, 3295.83, 0.139992, 87.1729
14, 47.9853, 19.8082, 311.341, 80.2518, 515.635, 3288.26, 0.139749, 86.3047
15, 47.8415, 19.7828, 318.774, 80.29, 516.617, 3280.73, 0.139511, 85.4521
16, 47.6978, 19.7562, 326.146, 80.3311, 517.582, 3273.26, 0.139278, 84.6149
17, 47.5543, 19.7285, 333.457, 80.3749, 518.53, 3265.84, 0.139048, 83.7929
18, 47.411, 19.6997, 340.708, 80.4217, 519.462, 3258.46, 0.138823, 82.9857
19, 47.2678, 19.6699, 347.901, 80.4712, 520.377, 3251.13, 0.138602, 82.1932
20, 47.1249, 19.6391, 355.035, 80.5236, 521.275, 3243.85, 0.138386, 81.4151
21, 46.9821, 19.6075, 362.112, 80.5789, 522.158, 3236.61, 0.138173, 80.6512
22, 46.8396, 19.5751, 369.133, 80.6371, 523.024, 3229.41, 0.137965, 79.9013
23, 46.6974, 19.5418, 376.099, 80.6981, 523.875, 3222.25, 0.13776, 79.1652
24, 46.5553, 19.5079, 383.009, 80.762, 524.71, 3215.13, 0.137559, 78.4425
25, 46.4136, 19.4732, 389.866, 80.8288, 525.529, 3208.04, 0.137363, 77.7332
26, 46.2721, 19.438, 396.669, 80.8985, 526.333, 3201.0, 0.13717, 77.037
27, 46.1308, 19.4022, 403.42, 80.971, 527.122, 3193.99, 0.136981, 76.3536
28, 45.9899, 19.3659, 410.118, 81.0465, 527.896, 3187.02, 0.136796, 75.683
29, 45.8492, 19.3292, 416.765, 81.1248, 528.655, 3180.08, 0.136614, 75.0248
30, 45.7088, 19.292, 423.361, 81.2059, 529.4, 3173.17, 0.136437, 74.3789
31, 45.5687, 19.2545, 429.907, 81.29, 530.13, 3166.3, 0.136262, 73.745
32, 45.429, 19.2167, 436.403, 81.3768, 530.846, 3159.45, 0.136092, 73.1231
33, 45.2895, 19.1787, 442.85, 81.4665, 531.548, 3152.64, 0.135925, 72.5128
34, 45.1503, 19.1404, 449.247, 81.559, 532.236, 3145.86, 0.135761, 71.914
35, 45.0115, 19.102, 455.597, 81.6544, 532.911, 3139.11, 0.135601, 71.3265
36, 44.8729, 19.0634, 461.898, 81.7525, 533.572, 3132.38, 0.135444, 70.7502
37, 44.7347, 19.0248, 468.153, 81.8534, 534.219, 3125.69, 0.13529, 70.1848
38, 44.5968, 18.9861, 474.36, 81.957, 534.854, 3119.02, 0.13514, 69.6301
39, 44.4593, 18.9475, 480.52, 82.0634, 535.475, 3112.38, 0.134993, 69.0861
40, 44.3221, 18.9088, 486.634, 82.1725, 536.084, 3105.76, 0.134849, 68.5524
41, 44.1852, 18.8703, 492.703, 82.2843, 536.68, 3099.17, 0.134708, 68.029
42, 44.0486, 18.8319, 498.726, 82.3988, 537.263, 3092.61, 0.134571, 67.5157
43, 43.9124, 18.7936, 504.704, 82.5159, 537.834, 3086.07, 0.134436, 67.0123
44, 43.7766, 18.7556, 510.638, 82.6357, 538.393, 3079.55, 0.134304, 66.5186
45, 43.641, 18.7177, 516.527, 82.758, 538.94, 3073.06, 0.134175, 66.0345
46, 43.5059, 18.6801, 522.373, 82.883, 539.476, 3066.59, 0.13405, 65.5599
47, 43.3711, 18.6428, 528.174, 83.0105, 540.0, 3060.14, 0.133926, 65.0945
48, 43.2366, 18.6058, 533.933, 83.1404, 540.512, 3053.72, 0.133806, 64.6382
49, 43.1025, 18.5691, 539.649, 83.2729, 541.013, 3047.32, 0.133689, 64.1909
50, 42.9687, 18.5327, 545.322, 83.4079, 541.503, 3040.94, 0.133574, 63.7524
51, 42.8353, 18.4968, 550.954, 83.5453, 541.982, 3034.58, 0.133462, 63.3226
52, 42.7022, 18.4612, 556.543, 83.685, 542.451, 3028.24, 0.133352, 62.9014
53, 42.5696, 18.426, 562.091, 83.8272, 542.909, 3021.93, 0.133245, 62.4885
54, 42.4372, 18.3913, 567.598, 83.9717, 543.356, 3015.63, 0.13314, 62.0839
55, 42.3053, 18.357, 573.064, 84.1185, 543.793, 3009.36, 0.133038, 61.6874
56, 42.1736, 18.3232, 578.49, 84.2675, 544.22, 3003.1, 0.132939, 61.2989
57, 42.0424, 18.2899, 583.876, 84.4188, 544.638, 2996.87, 0.132841, 60.9182
58, 41.9115, 18.257, 589.222, 84.5723, 545.045, 2990.66, 0.132746, 60.5453
59, 41.781, 18.2247, 594.529, 84.728, 545.443, 2984.46, 0.132654, 60.1799
60, 41.6508, 18.1928, 599.796, 84.8858, 545.832, 2978.29, 0.132563, 59.822
61, 41.5211, 18.1615, 605.025, 85.0456, 546.211, 2972.13, 0.132475, 59.4714
62, 41.3916, 18.1307, 610.216, 85.2076, 546.581, 2966.0, 0.132389, 59.128
63, 41.2626, 18.1004, 615.368, 85.3716, 546.942, 2959.88, 0.132306, 58.7917
64, 41.1339, 18.0706, 620.483, 85.5376, 547.294, 2953.78, 0.132224, 58.4624
65, 41.0056, 18.0413, 625.561, 85.7055, 547.638, 2947.7, 0.132144, 58.14
66, 40.8776, 18.0126, 630.602, 85.8753, 547.973, 2941.64, 0.132066, 57.8242
67, 40.75, 17.9844, 635.606, 86.047, 548.3, 2935.6, 0.131991, 57.5151
68, 40.6228, 17.9568, 640.574, 86.2206, 548.619, 2929.58, 0.131917, 57.2124
69, 40.4959, 17.9297, 645.506, 86.396, 548.929, 2923.57, 0.131845, 56.9162
70, 40.3695, 17.9031, 650.402, 86.5731, 549.232, 2917.59, 0.131775, 56.6262
71, 40.2434, 17.877, 655.264, 86.752, 549.527, 2911.62, 0.131707, 56.3424
72, 40.1176, 17.8515, 660.09, 86.9326, 549.814, 2905.67, 0.131641, 56.0646
73, 39.9922, 17.8265, 664.882, 87.1148, 550.094, 2899.74, 0.131576, 55.7928
74, 39.8672, 17.8019, 669.64, 87.2986, 550.367, 2893.83, 0.131513, 55.5268
75, 39.7426, 17.778, 674.364, 87.4841, 550.632, 2887.93, 0.131452, 55.2665
76, 39.6183, 17.7545, 679.055, 87.6711, 550.89, 2882.05, 0.131393, 55.0119
77, 39.4944, 17.7315, 683.712, 87.8595, 551.142, 2876.2, 0.131335, 54.7628
78, 39.3709, 17.709, 688.337, 88.0495, 551.386, 2870.36, 0.131278, 54.5191
79, 39.2477, 17.687, 692.93, 88.2409, 551.624, 2864.53, 0.131224, 54.2807
80, 39.1249, 17.6655, 697.49, 88.4337, 551.856, 2858.73, 0.13117, 54.0476
81, 39.0025, 17.6444, 702.019, 88.6278, 552.081, 2852.94, 0.131119, 53.8195
82, 38.8805, 17.6238, 706.517, 88.8233, 552.3, 2847.17, 0.131068, 53.5966
83, 38.7588, 17.6037, 710.983, 89.0201, 552.512, 2841.42, 0.131019, 53.3785
84, 38.6374, 17.5841, 715.419, 89.2181, 552.719, 2835.69, 0.130972, 53.1653
85, 38.5165, 17.5648, 719.825, 89.4174, 552.92, 2829.97, 0.130926, 52.9568
86, 38.3959, 17.546, 724.201, 89.6178, 553.115, 2824.27, 0.130881, 52.753
87, 38.2757, 17.5277, 728.547, 89.8194, 553.304, 2818.59, 0.130838, 52.5538
88, 38.1558, 17.5098, 732.863, 90.0221, 553.488, 2812.93, 0.130796, 52.359
89, 38.0363, 17.4922, 737.151, 90.2258, 553.666, 2807.29, 0.130755, 52.1686
90, 37.9172, 17.4751, 741.41, 90.4306, 553.839, 2801.66, 0.130715, 51.9826
91, 37.7985, 17.4584, 745.641, 90.6365, 554.007, 2796.05, 0.130677, 51.8007
92, 37.6801, 17.4421, 749.844, 90.8433, 554.17, 2790.46, 0.130639, 51.623
93, 37.562, 17.4262, 754.019, 91.051, 554.328, 2784.89, 0.130603, 51.4493
94, 37.4444, 17.4106, 758.167, 91.2597, 554.481, 2779.33, 0.130568, 51.2796
95, 37.3271, 17.3954, 762.288, 91.4692, 554.629, 2773.79, 0.130534, 51.1138
96, 37.2101, 17.3806, 766.382, 91.6796, 554.772, 2768.27, 0.130502, 50.9518
97, 37.0936, 17.3661, 770.45, 91.8908, 554.911, 2762.77, 0.13047, 50.7935
98, 36.9774, 17.352, 774.492, 92.1027, 555.046, 2757.28, 0.130439, 50.6389
99, 36.8615, 17.3382, 778.508, 92.3155, 555.176, 2751.81, 0.130409, 50.4879
100, 36.746, 17.3247, 782.498, 92.5289, 555.302, 2746.36, 0.130381, 50.3404
101, 36.6309, 17.3115, 786.463, 92.7431, 555.424, 2740.93, 0.130353, 50.1963
102, 36.5161, 17.2987, 790.404, 92.9579, 555.541, 2735.51, 0.130326, 50.0555
103, 36.4017, 17.2862, 794.319, 93.1733, 555.655, 2730.11, 0.1303, 49.9181
104, 36.2876, 17.274, 798.211, 93.3893, 555.765, 2724.73, 0.130275, 49.7839
105, 36.174, 17.2621, 802.078, 93.606, 555.871, 2719.37, 0.130251, 49.6528
106, 36.0606, 17.2504, 805.921, 93.8231, 555.973, 2714.02, 0.130227, 49.5248
107, 35.9476, 17.2391, 809.741, 94.0408, 556.072, 2708.69, 0.130205, 49.3998
108, 35.835, 17.228, 813.538, 94.259, 556.167, 2703.38, 0.130183, 49.2778
109, 35.7227, 17.2172, 817.311, 94.4776, 556.258, 2698.09, 0.130162, 49.1586
110, 35.6108, 17.2067, 821.062, 94.6967, 556.346, 2692.81, 0.130142, 49.0423
111, 35.4993, 17.1964, 824.791, 94.9162, 556.431, 2687.55, 0.130123, 48.9288
112, 35.388, 17.1863, 828.497, 95.1361, 556.513, 2682.31, 0.130104, 48.8179
113, 35.2772, 17.1766, 832.181, 95.3563, 556.592, 2677.08, 0.130086, 48.7097
114, 35.1667, 17.167, 835.844, 95.5769, 556.667, 2671.88, 0.130069, 48.6041
115, 35.0565, 17.1577, 839.485, 95.7978, 556.74, 2666.68, 0.130053, 48.501
116, 34.9467, 17.1486, 843.105, 96.019, 556.809, 2661.51, 0.130037, 48.4004
117, 34.8373, 17.1398, 846.704, 96.2405, 556.876, 2656.35, 0.130022, 48.3022
118, 34.7282, 17.1311, 850.282, 96.4622, 556.94, 2651.22, 0.130007, 48.2064
119, 34.6194, 17.1227, 853.84, 96.6842, 557.001, 2646.09, 0.129993, 48.1129
120, 34.511, 17.1145, 857.377, 96.9063, 557.059, 2640.99, 0.12998, 48.0216
121, 34.4029, 17.1065, 860.895, 97.1286, 557.115, 2635.9, 0.129967, 47.9326
122, 34.2952, 17.0986, 864.392, 97.3511, 557.168, 2630.83, 0.129955, 47.8457
123, 34.1878, 17.091, 867.87, 97.5738, 557.219, 2625.78, 0.129943, 47.7609
124, 34.0808, 17.0836, 871.328, 97.7965, 557.268, 2620.74, 0.129932, 47.6782
125, 33.9741, 17.0763, 874.768, 98.0194, 557.314, 2615.72, 0.129922, 47.5975
126, 33.8678, 17.0693, 878.188, 98.2423, 557.358, 2610.71, 0.129912, 47.5187
127, 33.7618, 17.0624, 881.589, 98.4653, 557.399, 2605.73, 0.129902, 47.4419
128, 33.6561, 17.0557, 884.972, 98.6884, 557.439, 2600.76, 0.129893, 47.367
129, 33.5508, 17.0491, 888.336, 98.9114, 557.476, 2595.81, 0.129885, 47.2938
130, 33.4458, 17.0427, 891.683, 99.1345, 557.511, 2590.87, 0.129877, 47.2225
131, 33.3411, 17.0365, 895.011, 99.3576, 557.544, 2585.95, 0.129869, 47.153
132, 33.2368, 17.0304, 898.321, 99.5806, 557.576, 2581.05, 0.129862, 47.0851
133, 33.1329, 17.0245, 901.614, 99.8036, 557.605, 2576.16, 0.129856, 47.0189
134, 33.0292, 17.0187, 904.889, 100.027, 557.632, 2571.29, 0.129849, 46.9544
135, 32.9259, 17.0131, 908.147, 100.249, 557.658, 2566.44, 0.129844, 46.8914
136, 32.823, 17.0076, 911.388, 100.472, 557.682, 2561.61, 0.129838, 46.83
137, 32.7203, 17.0022, 914.612, 100.695, 557.704, 2556.79, 0.129833, 46.7701
138, 32.618, 16.997, 917.819, 100.918, 557.724, 2551.98, 0.129829, 46.7117
139, 32.5161, 16.9919, 921.009, 101.14, 557.743, 2547.2, 0.129824, 46.6548
140, 32.4144, 16.987, 924.183, 101.362, 557.76, 2542.43, 0.12982, 46.5992
141, 32.3131, 16.9821, 927.341, 101.584, 557.776, 2537.67, 0.129817, 46.5451
142, 32.2121, 16.9774, 930.483, 101.806, 557.79, 2532.94, 0.129814, 46.4922
143, 32.1115, 16.9728, 933.608, 102.028, 557.803, 2528.21, 0.129811, 46.4408
144, 32.0111, 16.9684, 936.718, 102.25, 557.814, 2523.51, 0.129808, 46.3905
145, 31.9111, 16.964, 939.813, 102.471, 557.824, 2518.82, 0.129806, 46.3416
146, 31.8115, 16.9597, 942.891, 102.692, 557.832, 2514.15, 0.129804, 46.2939
147, 31.7121, 16.9556, 945.955, 102.913, 557.84, 2509.49, 0.129802, 46.2473
148, 31.6131, 16.9516, 949.003, 103.134, 557.845, 2504.85, 0.129801, 46.2019
149, 31.5144, 16.9476, 952.036, 103.354, 557.85, 2500.23, 0.1298, 46.1577
150, 31.416, 16.9438, 955.054, 103.575, 557.853, 2495.62, 0.129799, 46.1146
151, 31.318, 16.94, 958.058, 103.794, 557.856, 2491.03, 0.129799, 46.0726
152, 31.2202, 16.9364, 961.047, 104.014, 557.857, 2486.45, 0.129798, 46.0316
153, 31.1228, 16.9328, 964.021, 104.233, 557.857, 2481.89, 0.129798, 45.9916
154, 31.0257, 16.9294, 966.981, 104.452, 557.856, 2477.35, 0.129799, 45.9527
155, 30.9289, 16.926, 969.926, 104.671, 557.853, 2472.82, 0.129799, 45.9147
156, 30.8324, 16.9227, 972.858, 104.889, 557.85, 2468.31, 0.1298, 45.8777
157, 30.7363, 16.9195, 975.775, 105.107, 557.846, 2463.81, 0.129801, 45.8417
158, 30.6405, 16.9164, 978.679, 105.325, 557.841, 2459.33, 0.129802, 45.8065
159, 30.5449, 16.9133, 981.569, 105.542, 557.834, 2454.87, 0.129803, 45.7723
160, 30.4497, 16.9104, 984.445, 105.759, 557.827, 2450.42, 0.129805, 45.7389
161, 30.3548, 16.9075, 987.307, 105.976, 557.819, 2445.98, 0.129807, 45.7063
162, 30.2602, 16.9047, 990.157, 106.192, 557.811, 2441.56, 0.129809, 45.6746
163, 30.166, 16.9019, 992.993, 106.408, 557.801, 2437.16, 0.129811, 45.6437
164, 30.072, 16.8992, 995.815, 106.624, 557.79, 2432.77, 0.129814, 45.6136
165, 29.9783, 16.8966, 998.625, 106.839, 557.779, 2428.4, 0.129816, 45.5842
166, 29.885, 16.8941, 1001.42, 107.053, 557.767, 2424.04, 0.129819, 45.5556
167, 29.7919, 16.8916, 1004.21, 107.268, 557.754, 2419.7, 0.129822, 45.5278
168, 29.6992, 16.8892, 1006.98, 107.482, 557.741, 2415.38, 0.129825, 45.5006
169, 29.6067, 16.8869, 1009.73, 107.695, 557.726, 2411.07, 0.129828, 45.4741
170, 29.5146, 16.8846, 1012.48, 107.908, 557.711, 2406.77, 0.129831, 45.4484
171, 29.4228, 16.8823, 1015.21, 108.121, 557.696, 2402.49, 0.129835, 45.4232
172, 29.3313, 16.8802, 1017.93, 108.333, 557.68, 2398.22, 0.129839, 45.3988
173, 29.24, 16.878, 1020.64, 108.544, 557.663, 2393.97, 0.129843, 45.3749
174, 29.1491, 16.876, 1023.34, 108.756, 557.645, 2389.74, 0.129847, 45.3517
175, 29.0585, 16.874, 1026.02, 108.966, 557.627, 2385.52, 0.129851, 45.329
176, 28.9682, 16.872, 1028.7, 109.177, 557.608, 2381.31, 0.129855, 45.307
177, 28.8781, 16.8701, 1031.36, 109.387, 557.589, 2377.12, 0.129859, 45.2855
178, 28.7884, 16.8682, 1034.01, 109.596, 557.57, 2372.94, 0.129864, 45.2646
179, 28.699, 16.8664, 1036.64, 109.805, 557.549, 2368.78, 0.129868, 45.2442
180, 28.6098, 16.8647, 1039.27, 110.014, 557.529, 2364.64, 0.129873, 45.2243
181, 28.521, 16.863, 1041.88, 110.222, 557.507, 2360.5, 0.129878, 45.205
182, 28.4324, 16.8613, 1044.49, 110.429, 557.486, 2356.39, 0.129883, 45.1861
183, 28.3441, 16.8597, 1047.08, 110.636, 557.463, 2352.28, 0.129888, 45.1678
184, 28.2562, 16.8581, 1049.66, 110.843, 557.441, 2348.2, 0.129893, 45.1499
185, 28.1685, 16.8565, 1052.22, 111.049, 557.418, 2344.12, 0.129898, 45.1325
186, 28.0811, 16.855, 1054.78, 111.254, 557.394, 2340.06, 0.129904, 45.1156
187, 27.994, 16.8536, 1057.33, 111.459, 557.371, 2336.02, 0.129909, 45.099
188, 27.9072, 16.8521, 1059.86, 111.664, 557.346, 2331.99, 0.129914, 45.083
189, 27.8206, 16.8507, 1062.39, 111.868, 557.322, 2327.97, 0.12992, 45.0673
190, 27.7344, 16.8494, 1064.9, 112.071, 557.297, 2323.97, 0.129926, 45.0521
191, 27.6484, 16.8481, 1067.4, 112.274, 557.272, 2319.98, 0.129932, 45.0372
192, 27.5628, 16.8468, 1069.9, 112.477, 557.246, 2316.01, 0.129937, 45.0227
193, 27.4774, 16.8455, 1072.38, 112.679, 557.22, 2312.05, 0.129943, 45.0087
194, 27.3923, 16.8443, 1074.85, 112.88, 557.194, 2308.11, 0.129949, 44.995
195, 27.3074, 16.8431, 1077.31, 113.081, 557.167, 2304.17, 0.129955, 44.9816
196, 27.2229, 16.842, 1079.76, 113.282, 557.14, 2300.26, 0.129961, 44.9686
197, 27.1386, 16.8408, 1082.2, 113.482, 557.113, 2296.35, 0.129968, 44.956
198, 27.0546, 16.8397, 1084.63, 113.681, 557.086, 2292.46, 0.129974, 44.9436
199, 26.9709, 16.8387, 1087.05, 113.88, 557.058, 2288.59, 0.12998, 44.9317
200, 26.8875, 16.8376, 1089.46, 114.078, 557.03, 2284.73, 0.129986, 44.92
201, 26.8043, 16.8366, 1091.86, 114.276, 557.002, 2280.88, 0.129993, 44.9086
202, 26.7214, 16.8357, 1094.25, 114.473, 556.973, 2277.05, 0.129999, 44.8976
203, 26.6388, 16.8347, 1096.63, 114.67, 556.945, 2273.23, 0.130006, 44.8868
204, 26.5565, 16.8338, 1099.0, 114.866, 556.916, 2269.42, 0.130012, 44.8763
205, 26.4744, 16.8329, 1101.36, 115.062, 556.887, 2265.63, 0.130019, 44.8661
206, 26.3927, 16.832, 1103.71, 115.257, 556.858, 2261.85, 0.130026, 44.8562
207, 26.3111, 16.8311, 1106.05, 115.451, 556.828, 2258.08, 0.130032, 44.8465
208, 26.2299, 16.8303, 1108.38, 115.645, 556.799, 2254.33, 0.130039, 44.8371
209, 26.1489, 16.8295, 1110.7, 115.839, 556.769, 2250.59, 0.130046, 44.828
210, 26.0682, 16.8287, 1113.01, 116.032, 556.739, 2246.86, 0.130053, 44.8191
211, 25.9878, 16.8279, 1115.31, 116.224, 556.709, 2243.15, 0.13006, 44.8104
212, 25.9076, 16.8271, 1117.6, 116.416, 556.679, 2239.45, 0.130067, 44.802
213, 25.8277, 16.8264, 1119.89, 116.607, 556.648, 2235.76, 0.130073, 44.7938
214, 25.748, 16.8257, 1122.16, 116.798, 556.618, 2232.09, 0.13008, 44.7859
215, 25.6686, 16.825, 1124.42, 116.988, 556.587, 2228.43, 0.130087, 44.7781
216, 25.5895, 16.8243, 1126.68, 117.178, 556.556, 2224.78, 0.130094, 44.7706
217, 25.5107, 16.8237, 1128.93, 117.367, 556.525, 2221.15, 0.130101, 44.7632
218, 25.4321, 16.823, 1131.16, 117.556, 556.494, 2217.53, 0.130108, 44.7561
219, 25.3537, 16.8224, 1133.39, 117.744, 556.463, 2213.92, 0.130116, 44.7491
220, 25.2757, 16.8218, 1135.61, 117.931, 556.432, 2210.32, 0.130123, 44.7424
221, 25.1979, 16.8212, 1137.82, 118.118, 556.401, 2206.74, 0.13013, 44.7358
222, 25.1203, 16.8207, 1140.02, 118.304, 556.369, 2203.17, 0.130137, 44.7294
223, 25.043, 16.8201, 1142.21, 118.49, 556.338, 2199.61, 0.130144, 44.7232
224, 24.966, 16.8196, 1144.4, 118.675, 556.306, 2196.07, 0.130151, 44.7172
225, 24.8892, 16.819, 1146.57, 118.86, 556.275, 2192.54, 0.130159, 44.7113
226, 24.8126, 16.8185, 1148.74, 119.044, 556.243, 2189.02, 0.130166, 44.7056
227, 24.7364, 16.818, 1150.9, 119.228, 556.211, 2185.51, 0.130173, 44.7001
228, 24.6603, 16.8175, 1153.05, 119.411, 556.179, 2182.02, 0.13018, 44.6947
229, 24.5846, 16.8171, 1155.19, 119.593, 556.147, 2178.54, 0.130188, 44.6894
230, 24.5091, 16.8166, 1157.32, 119.775, 556.116, 2175.07, 0.130195, 44.6844
231, 24.4338, 16.8162, 1159.44, 119.957, 556.084, 2171.61, 0.130202, 44.6794
232, 24.3588, 16.8157, 1161.56, 120.137, 556.052, 2168.17, 0.130209, 44.6746
233, 24.284, 16.8153, 1163.66, 120.318, 556.019, 2164.74, 0.130217, 44.6699
234, 24.2095, 16.8149, 1165.76, 120.497, 555.987, 2161.32, 0.130224, 44.6654
235, 24.1352, 16.8145, 1167.85, 120.677, 555.955, 2157.91, 0.130231, 44.661
236, 24.0612, 16.8141, 1169.94, 120.855, 555.923, 2154.52, 0.130239, 44.6567
237, 23.9874, 16.8138, 1172.01, 121.033, 555.891, 2151.13, 0.130246, 44.6525
238, 23.9139, 16.8134, 1174.07, 121.211, 555.859, 2147.76, 0.130253, 44.6485
239, 23.8406, 16.813, 1176.13, 121.388, 555.826, 2144.4, 0.130261, 44.6446
240, 23.7675, 16.8127, 1178.18, 121.564, 555.794, 2141.06, 0.130268, 44.6408
241, 23.6947, 16.8124, 1180.22, 121.74, 555.762, 2137.72, 0.130276, 44.6371
242, 23.6222, 16.812, 1182.26, 121.916, 555.73, 2134.4, 0.130283, 44.6335
243, 23.5499, 16.8117, 1184.28, 122.091, 555.697, 2131.09, 0.13029, 44.63
244, 23.4778, 16.8114, 1186.3, 122.265, 555.665, 2127.79, 0.130298, 44.6266
245, 23.4059, 16.8111, 1188.31, 122.439, 555.633, 2124.5, 0.130305, 44.6233
246, 23.3343, 16.8108, 1190.31, 122.612, 555.601, 2121.23, 0.130312, 44.6202
247, 23.263, 16.8105, 1192.31, 122.784, 555.568, 2117.96, 0.13032, 44.6171
248, 23.1918, 16.8103, 1194.29, 122.957, 555.536, 2114.71, 0.130327, 44.6141
249, 23.121, 16.81, 1196.27, 123.128, 555.504, 2111.47, 0.130334, 44.6112
250, 23.0503, 16.8098, 1198.24, 123.299, 555.472, 2108.24, 0.130342, 44.6083
251, 22.9799, 16.8095, 1200.2, 123.47, 555.44, 2105.02, 0.130349, 44.6056
252, 22.9097, 16.8093, 1202.16, 123.64, 555.407, 2101.82, 0.130356, 44.603
253, 22.8398, 16.809, 1204.11, 123.809, 555.375, 2098.62, 0.130364, 44.6004
254, 22.77, 16.8088, 1206.05, 123.978, 555.343, 2095.44, 0.130371, 44.5979
255, 22.7005, 16.8086, 1207.98, 124.146, 555.311, 2092.27, 0.130378, 44.5955
256, 22.6313, 16.8084, 1209.91, 124.314, 555.279, 2089.11, 0.130386, 44.5932
257, 22.5623, 16.8082, 1211.83, 124.481, 555.247, 2085.96, 0.130393, 44.5909
258, 22.4935, 16.808, 1213.74, 124.648, 555.215, 2082.82, 0.1304, 44.5887
259, 22.4249, 16.8078, 1215.64, 124.814, 555.183, 2079.69, 0.130408, 44.5866
260, 22.3566, 16.8076, 1217.54, 124.98, 555.151, 2076.58, 0.130415, 44.5845
261, 22.2885, 16.8074, 1219.43, 125.145, 555.119, 2073.47, 0.130422, 44.5825
262, 22.2206, 16.8072, 1221.31, 125.31, 555.087, 2070.38, 0.13043, 44.5806
263, 22.1529, 16.807, 1223.18, 125.474, 555.055, 2067.3, 0.130437, 44.5787
264, 22.0855, 16.8069, 1225.05, 125.638, 555.024, 2064.23, 0.130444, 44.5769
265, 22.0183, 16.8067, 1226.91, 125.801, 554.992, 2061.17, 0.130451, 44.5752
266, 21.9513, 16.8065, 1228.76, 125.963, 554.96, 2058.12, 0.130459, 44.5735
267, 21.8845, 16.8064, 1230.61, 126.125, 554.929, 2055.08, 0.130466, 44.5719
268, 21.818, 16.8063, 1232.45, 126.287, 554.897, 2052.05, 0.130473, 44.5703
269, 21.7517, 16.8061, 1234.28, 126.448, 554.866, 2049.04, 0.13048, 44.5688
270, 21.6856, 16.806, 1236.1, 126.608, 554.834, 2046.03, 0.130488, 44.5673
271, 21.6197, 16.8058, 1237.92, 126.768, 554.803, 2043.03, 0.130495, 44.5659
272, 21.5541, 16.8057, 1239.73, 126.928, 554.771, 2040.05, 0.130502, 44.5645
273, 21.4886, 16.8056, 1241.54, 127.086, 554.74, 2037.08, 0.130509, 44.5632
274, 21.4234, 16.8055, 1243.33, 127.245, 554.709, 2034.11, 0.130516, 44.5619
275, 21.3584, 16.8053, 1245.12, 127.403, 554.677, 2031.16, 0.130523, 44.5607
276, 21.2936, 16.8052, 1246.91, 127.56, 554.646, 2028.22, 0.13053, 44.5595
277, 21.229, 16.8051, 1248.68, 127.717, 554.615, 2025.29, 0.130538, 44.5583
278, 21.1647, 16.805, 1250.45, 127.873, 554.584, 2022.36, 0.130545, 44.5572
279, 21.1005, 16.8049, 1252.22, 128.029, 554.553, 2019.45, 0.130552, 44.5562
280, 21.0366, 16.8048, 1253.97, 128.184, 554.522, 2016.55, 0.130559, 44.5552
281, 20.9729, 16.8047, 1255.72, 128.339, 554.491, 2013.66, 0.130566, 44.5542
282, 20.9094, 16.8046, 1257.47, 128.494, 554.461, 2010.78, 0.130573, 44.5532
283, 20.8461, 16.8045, 1259.2, 128.647, 554.43, 2007.91, 0.13058, 44.5523
284, 20.783, 16.8045, 1260.93, 128.801, 554.399, 2005.06, 0.130587, 44.5514
285, 20.7202, 16.8044, 1262.66, 128.953, 554.369, 2002.21, 0.130594, 44.5506
286, 20.6575, 16.8043, 1264.37, 129.106, 554.338, 1999.37, 0.130601, 44.5498
287, 20.595, 16.8042, 1266.09, 129.258, 554.308, 1996.54, 0.130608, 44.549
288, 20.5328, 16.8042, 1267.79, 129.409, 554.277, 1993.72, 0.130615, 44.5483
289, 20.4708, 16.8041, 1269.49, 129.56, 554.247, 1990.91, 0.130622, 44.5476
290, 20.4089, 16.804, 1271.18, 129.71, 554.217, 1988.11, 0.130629, 44.5469
291, 20.3473, 16.8039, 1272.86, 129.86, 554.187, 1985.32, 0.130636, 44.5463
292, 20.2859, 16.8039, 1274.54, 130.009, 554.156, 1982.55, 0.130643, 44.5456
293, 20.2247, 16.8038, 1276.22, 130.158, 554.126, 1979.78, 0.130649, 44.5451
