IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0001, 200.001, 79.9994, 500.001, 3400.01, 0.999996, 100.0
39.6061, 49.985, 19.9399, 199.181, 79.8965, 499.186, 3393.03, 1.0024, 99.9138
39.2121, 49.9693, 19.8795, 198.349, 79.7928, 498.365, 3385.91, 1.00482, 99.8267
38.8182, 49.9533, 19.8187, 197.504, 79.6884, 497.539, 3378.65, 1.00726, 99.7387
38.4242, 49.9372, 19.7577, 196.647, 79.5831, 496.707, 3371.26, 1.00973, 99.65
38.0303, 49.9208, 19.6964, 195.777, 79.4771, 495.87, 3363.72, 1.01222, 99.5605
37.6364, 49.9042, 19.6348, 194.893, 79.3704, 495.028, 3356.03, 1.01472, 99.4702
37.2424, 49.8873, 19.5729, 193.996, 79.263, 494.18, 3348.19, 1.01725, 99.3791
36.8485, 49.8701, 19.5108, 193.085, 79.155, 493.328, 3340.18, 1.0198, 99.2871
36.4545, 49.8527, 19.4484, 192.159, 79.0463, 492.471, 3332.02, 1.02237, 99.1944
36.0606, 49.8349, 19.3858, 191.219, 78.9369, 491.608, 3323.69, 1.02495, 99.1009
35.6667, 49.8168, 19.3229, 190.264, 78.8271, 490.742, 3315.18, 1.02756, 99.0065
35.2727, 49.7983, 19.2598, 189.294, 78.7166, 489.87, 3306.5, 1.03018, 98.9113
34.8788, 49.7795, 19.1964, 188.308, 78.6056, 488.995, 3297.63, 1.03283, 98.8153
34.4848, 49.7603, 19.1329, 187.307, 78.4942, 488.115, 3288.57, 1.03549, 98.7185
34.0909, 49.7406, 19.0691, 186.289, 78.3823, 487.231, 3279.32, 1.03816, 98.6209
33.697, 49.7205, 19.0051, 185.254, 78.2699, 486.343, 3269.86, 1.04086, 98.5224
33.303, 49.6999, 18.9409, 184.202, 78.1572, 485.451, 3260.2, 1.04357, 98.4231
32.9091, 49.6789, 18.8766, 183.133, 78.0441, 484.555, 3250.32, 1.0463, 98.323
32.5152, 49.6573, 18.812, 182.046, 77.9307, 483.655, 3240.22, 1.04904, 98.222
32.1212, 49.6352, 18.7473, 180.941, 77.817, 482.752, 3229.89, 1.0518, 98.1202
31.7273, 49.6125, 18.6824, 179.817, 77.7031, 481.846, 3219.33, 1.05457, 98.0175
31.3333, 49.5892, 18.6173, 178.675, 77.5889, 480.936, 3208.53, 1.05736, 97.9139
30.9394, 49.5653, 18.5521, 177.513, 77.4746, 480.024, 3197.47, 1.06016, 97.8095
30.5455, 49.5408, 18.4867, 176.331, 77.3601, 479.108, 3186.16, 1.06298, 97.7043
30.1515, 49.5156, 18.4212, 175.128, 77.2455, 478.189, 3174.57, 1.0658, 97.5981
29.7576, 49.4897, 18.3555, 173.906, 77.1308, 477.267, 3162.72, 1.06864, 97.4911
29.3636, 49.463, 18.2896, 172.662, 77.016, 476.343, 3150.58, 1.0715, 97.3831
28.9697, 49.4356, 18.2237, 171.396, 76.9012, 475.416, 3138.14, 1.07436, 97.2743
28.5758, 49.4075, 18.1576, 170.108, 76.7864, 474.486, 3125.4, 1.07723, 97.1645
28.1818, 49.3785, 18.0913, 168.798, 76.6717, 473.554, 3112.35, 1.08012, 97.0537
27.7879, 49.3486, 18.0249, 167.465, 76.557, 472.619, 3098.97, 1.08302, 96.9421
27.3939, 49.3179, 17.9584, 166.109, 76.4424, 471.681, 3085.26, 1.08592, 96.8294
27, 49.2863, 17.8918, 164.728, 76.3279, 470.742, 3071.2, 1.08884, 96.7158
26.6061, 49.2538, 17.825, 163.324, 76.2135, 469.8, 3056.78, 1.09177, 96.6011
26.2121, 49.2202, 17.758, 161.894, 76.0994, 468.855, 3041.99, 1.0947, 96.4854
25.8182, 49.1857, 17.691, 160.439, 75.9854, 467.908, 3026.82, 1.09765, 96.3686
25.4242, 49.1501, 17.6237, 158.958, 75.8716, 466.959, 3011.26, 1.1006, 96.2507
25.0303, 49.1134, 17.5563, 157.451, 75.758, 466.007, 2995.28, 1.10357, 96.1318
24.6364, 49.0756, 17.4888, 155.916, 75.6447, 465.053, 2978.88, 1.10654, 96.0116
24.2424, 49.0367, 17.421, 154.355, 75.5316, 464.096, 2962.04, 1.10952, 95.8903
23.8485, 48.9965, 17.3531, 152.765, 75.4188, 463.136, 2944.74, 1.11251, 95.7677
23.4545, 48.9551, 17.285, 151.146, 75.3063, 462.174, 2926.97, 1.11551, 95.6438
23.0606, 48.9125, 17.2167, 149.499, 75.194, 461.208, 2908.71, 1.11852, 95.5187
22.6667, 48.8685, 17.1481, 147.821, 75.0821, 460.24, 2889.95, 1.12154, 95.3921
22.2727, 48.8231, 17.0793, 146.114, 74.9705, 459.268, 2870.65, 1.12457, 95.2642
21.8788, 48.7763, 17.0103, 144.375, 74.8592, 458.293, 2850.82, 1.12761, 95.1347
21.4848, 48.728, 16.941, 142.605, 74.7482, 457.314, 2830.41, 1.13066, 95.0037
21.0909, 48.6781, 16.8714, 140.803, 74.6375, 456.331, 2809.42, 1.13371, 94.871
20.697, 48.6267, 16.8014, 138.968, 74.5272, 455.344, 2787.81, 1.13679, 94.7367
20.303, 48.5735, 16.7311, 137.099, 74.4171, 454.352, 2765.57, 1.13987, 94.6006
19.9091, 48.5187, 16.6604, 135.196, 74.3074, 453.356, 2742.67, 1.14296, 94.4626
19.5152, 48.462, 16.5894, 133.259, 74.198, 452.354, 2719.08, 1.14607, 94.3227
19.1212, 48.4034, 16.5178, 131.286, 74.089, 451.346, 2694.77, 1.1492, 94.1807
18.7273, 48.3429, 16.4458, 129.277, 73.9802, 450.333, 2669.72, 1.15233, 94.0365
18.3333, 48.2803, 16.3733, 127.231, 73.8717, 449.313, 2643.89, 1.15549, 93.8901
17.9394, 48.2156, 16.3002, 125.147, 73.7634, 448.285, 2617.25, 1.15866, 93.7412
17.5455, 48.1486, 16.2265, 123.025, 73.6555, 447.25, 2589.77, 1.16185, 93.5897
17.1515, 48.0792, 16.1522, 120.864, 73.5477, 446.207, 2561.41, 1.16506, 93.4355
16.7576, 48.0073, 16.0772, 118.664, 73.4402, 445.155, 2532.12, 1.16829, 93.2784
16.3636, 47.9328, 16.0013, 116.423, 73.333, 444.093, 2501.87, 1.17154, 93.1182
15.9697, 47.8555, 15.9247, 114.14, 73.2259, 443.02, 2470.62, 1.17482, 92.9548
15.5758, 47.7752, 15.8471, 111.816, 73.119, 441.936, 2438.31, 1.17812, 92.7878
15.1818, 47.6919, 15.7686, 109.449, 73.0122, 440.839, 2404.9, 1.18145, 92.6171
14.7879, 47.6052, 15.689, 107.038, 72.9056, 439.729, 2370.33, 1.18482, 92.4424
14.3939, 47.515, 15.6082, 104.584, 72.7991, 438.605, 2334.55, 1.18821, 92.2634
14, 47.4211, 15.5262, 102.086, 72.6927, 437.464, 2297.5, 1.19164, 92.0797
13.6061, 47.3231, 15.4428, 99.5439, 72.5863, 436.306, 2259.12, 1.19512, 91.891
13.2121, 47.2209, 15.358, 96.9574, 72.4799, 435.129, 2219.33, 1.19863, 91.6969
12.8182, 47.114, 15.2715, 94.3274, 72.3735, 433.931, 2178.07, 1.20219, 91.497
12.4242, 47.0021, 15.1832, 91.655, 72.2671, 432.711, 2135.25, 1.20579, 91.2907
12.0303, 46.8849, 15.093, 88.9421, 72.1607, 431.466, 2090.79, 1.20946, 91.0775
11.6364, 46.7617, 15.0006, 86.192, 72.0541, 430.193, 2044.6, 1.21318, 90.8568
11.2424, 46.6323, 14.9059, 83.4094, 71.9474, 428.891, 1996.6, 1.21696, 90.6278
10.8485, 46.4958, 14.8086, 80.6013, 71.8406, 427.557, 1946.66, 1.22081, 90.3897
10.4545, 46.3518, 14.7085, 77.7772, 71.7336, 426.186, 1894.7, 1.22474, 90.1417
10.0606, 46.1994, 14.6053, 74.95, 71.6266, 424.776, 1840.58, 1.22875, 89.8827
9.66667, 46.0377, 14.4986, 72.1359, 71.5193, 423.322, 1784.21, 1.23284, 89.6114
9.27273, 45.8659, 14.3881, 69.3543, 71.412, 421.819, 1725.45, 1.23704, 89.3267
8.87879, 45.6827, 14.2733, 66.6264, 71.3047, 420.263, 1664.19, 1.24133, 89.0268
8.48485, 45.4868, 14.1539, 63.9734, 71.1974, 418.647, 1600.32, 1.24574, 88.7101
8.09091, 45.2767, 14.0291, 61.4135, 71.0903, 416.964, 1533.71, 1.25028, 88.3743
7.69697, 45.0505, 13.8983, 58.9593, 70.9835, 415.206, 1464.28, 1.25494, 88.0169
