kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0001, 200.002, 79.9992, 500.001, 3400.01, 0.999996, 100.0
6.6054, 51.8584, 19.998, 200.059, 80.4234, 499.765, 3414.29, 1.00069, 100.999
6.5448, 53.869, 19.992, 200.061, 80.9287, 499.34, 3428.23, 1.00194, 102.007
6.4842, 56.046, 19.9816, 200.003, 81.5267, 498.705, 3441.75, 1.00381, 103.021
6.4236, 58.4034, 19.9659, 199.873, 82.2321, 497.84, 3454.77, 1.00637, 104.038
6.363, 60.9557, 19.9442, 199.66, 83.0634, 496.721, 3467.17, 1.00968, 105.057
6.3024, 63.7171, 19.9153, 199.346, 84.0448, 495.322, 3478.79, 1.01384, 106.074
6.2418, 66.7007, 19.878, 198.912, 85.2068, 493.613, 3489.44, 1.01893, 107.083
6.1812, 69.9178, 19.8303, 198.33, 86.5892, 491.565, 3498.87, 1.02507, 108.08
6.1206, 73.3761, 19.7703, 197.567, 88.2431, 489.143, 3506.74, 1.03236, 109.06
6.06, 77.0775, 19.6954, 196.579, 90.2347, 486.314, 3512.62, 1.04093, 110.013
5.9994, 81.0161, 19.6024, 195.312, 92.6489, 483.047, 3515.97, 1.05088, 110.933
5.9388, 85.1742, 19.4878, 193.698, 95.594, 479.312, 3516.08, 1.06232, 111.808
5.8782, 89.5193, 19.3477, 191.656, 99.203, 475.091, 3512.05, 1.07534, 112.629
5.8176, 94.0023, 19.1785, 189.092, 103.631, 470.384, 3502.83, 1.08992, 113.384
5.757, 98.5594, 18.9779, 185.916, 109.042, 465.223, 3487.27, 1.10597, 114.064
5.6964, 103.121, 18.7465, 182.062, 115.573, 459.684, 3464.32, 1.12323, 114.666
5.6358, 107.629, 18.4888, 177.522, 123.29, 453.889, 3433.36, 1.14126, 115.194
5.5752, 112.055, 18.214, 172.367, 132.142, 447.996, 3394.51, 1.1595, 115.661
5.5146, 116.41, 17.9335, 166.747, 141.961, 442.163, 3348.71, 1.17737, 116.086
5.454, 120.733, 17.6579, 160.851, 152.497, 436.514, 3297.48, 1.19443, 116.491
5.3934, 125.078, 17.395, 154.869, 163.484, 431.121, 3242.56, 1.2104, 116.892
